"Farmers And Merchants Bancorp, The","farmers and merchants bancorp the"
"Bippus State Corporation","bippus state corporation"
"Waytru Bancorp","waytru bancorp"
"Cedar Valley Bankshares, Ltd.","cedar valley bankshares"
"Ksb, Ltd.","ksb"
"Wfc, Inc.","wfc"
"Chief Iowa Investment Corporation","chief iowa investment corporation"
"Heartway Bancorporation","heartway"
"Security Bancshares, Inc.","security bancshares"
"Tescott Bancshares, Inc.","tescott bancshares"
"Docking Bancshares, Inc.","docking bancshares"
"International Brotherhood Of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers And Helpers","international brotherhood of boilermakers iron ship builders blacksmiths forgers and helpers"
"Peoples Bancorp Inc. Of Bullitt County","peoples bancorp of bullitt county"
"Shore Bancshares, Inc.","shore bancshares"
"Finlayson Bancshares, Inc.","finlayson bancshares"
"Poe Investment Company","poe investment company"
"Saint Clair Agency, Inc.","saint clair agency"
"Profinium Financial Holdings, Inc.","profinium financial holdings"
"Trimont Bancorporation","trimont"
"Eden Valley Bancshares, Inc.","eden valley bancshares"
"Citizens Investment Co., Inc.","citizens investment co"
"Van Deusen Bancorp, Inc.","van deusen bancorp"
"Fsb Holding Company, Inc.","fsb holding company"
"Market Bancorporation, Inc.","market"
"Piesco, Inc.","piesco"
"Hartman Bancshares, Inc.","hartman bancshares"
"Latham Bancshares, Inc.","latham bancshares"
"Nemo Bancshares, Inc","nemo bancshares"
"Citizens Bancshares Of Eldon, Missouri, Inc.","citizens bancshares of eldon missouri"
"Lamar Trust Bancshares, Inc.","lamar trust bancshares"
"Midwest Bancorporation, Inc. And Affiliates Esop Trust","midwest and affiliates esop trust"
"Cbt Corporation, Inc.","cbt corporation"
"Yellowstone Holding Company","yellowstone holding company"
"King Kalispell, Llc","king kalispell llc"
"Fs Banco, Inc.","fs banco"
"Western Bancshares, Inc.","western bancshares"
"Commercial State Holding Company, Inc.","commercial state holding company"
"Pathway Bancorp","pathway bancorp"
"Ceresco Bancorp, Inc.","ceresco bancorp"
"F & M Financial Corporation","f & m financial corporation"
"Jorgenson Holding Company","jorgenson holding company"
"Cnb Corporation","cnb corporation"
"Fnb Corporation","fnb corporation"
"Southcrest Financial Group, Inc.","southcrest financial group"
"Queensborough Company, The","queensborough company the"
"Monticello Bancshares, Inc.","monticello bancshares"
"Southwest Georgia Financial Corporation","southwest georgia financial corporation"
"First Burke Banking Company","first burke banking company"
"Treasure Bancorp, Inc.","treasure bancorp"
"Twinco, Inc.","twinco"
"Countricorp","countricorp"
